2025-07-28 22:23:00,023 INFO    MainThread:59492 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-28 22:23:00,024 INFO    MainThread:59492 [wandb_setup.py:_flush():80] Configure stats pid to 59492
2025-07-28 22:23:00,024 INFO    MainThread:59492 [wandb_setup.py:_flush():80] Loading settings from /Users/fatihbayazit/.config/wandb/settings
2025-07-28 22:23:00,024 INFO    MainThread:59492 [wandb_setup.py:_flush():80] Loading settings from /Users/fatihbayazit/Desktop/2025YAZ/BİL476/proje/FF-datamining/wandb/settings
2025-07-28 22:23:00,024 INFO    MainThread:59492 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-28 22:23:00,024 INFO    MainThread:59492 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/fatihbayazit/Desktop/2025YAZ/BİL476/proje/FF-datamining/wandb/offline-run-20250728_222300-9x2awkj8/logs/debug.log
2025-07-28 22:23:00,024 INFO    MainThread:59492 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/fatihbayazit/Desktop/2025YAZ/BİL476/proje/FF-datamining/wandb/offline-run-20250728_222300-9x2awkj8/logs/debug-internal.log
2025-07-28 22:23:00,024 INFO    MainThread:59492 [wandb_init.py:init():830] calling init triggers
2025-07-28 22:23:00,024 INFO    MainThread:59492 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'seed': 42, 'name': 'fmnist_unsup', 'input': {'batch_size': 100, 'dataset': 'fmnist'}, 'model': {'hidden_dim': 78}, 'training': {'epochs': 60, 'learning_rate': 0.005, 'weight_decay': 0, 'momentum': 0.9, 'type': 'bp'}, '_wandb': {}}
2025-07-28 22:23:00,024 INFO    MainThread:59492 [wandb_init.py:init():871] starting backend
2025-07-28 22:23:00,249 INFO    MainThread:59492 [wandb_init.py:init():874] sending inform_init request
2025-07-28 22:23:00,271 INFO    MainThread:59492 [wandb_init.py:init():882] backend started and connected
2025-07-28 22:23:00,273 INFO    MainThread:59492 [wandb_init.py:init():953] updated telemetry
2025-07-28 22:23:00,274 INFO    MainThread:59492 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-28 22:23:00,393 INFO    MainThread:59492 [wandb_init.py:init():1029] starting run threads in backend
2025-07-28 22:23:00,456 INFO    MainThread:59492 [wandb_run.py:_console_start():2458] atexit reg
2025-07-28 22:23:00,456 INFO    MainThread:59492 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-28 22:23:00,456 INFO    MainThread:59492 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-28 22:23:00,456 INFO    MainThread:59492 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-28 22:23:00,457 INFO    MainThread:59492 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-28 22:23:01,395 INFO    MsgRouterThr:59492 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
